	T	りょっ	勢力家	せいりょっか
	T	りょっ	博学力行	はくがくりょっこう
MISSING_CANDIDATE	口	こ	8
	T	こ	お猪口	おちょこ
	T	こ	お猪口になる	おちょこになる
	T	こ	へな猪口	へなちょこ
	T	こ	埴猪口	へなちょこ
	T	こ	御猪口	おちょこ
MISSING_CANDIDATE	大	お	6
	T	お	大っきい	おっきい
	T	お	大原女	おはらめ
	T	お	大御	おおん
	T	お	大御	おみ
	T	お	大根葉	おねば
MISSING_CANDIDATE	天	て	5
	T	て	天爾乎波	てにをは
	T	て	天辺	てへん
	T	て	奇天烈	きてれつ
	T	て	奇妙奇天烈	きみょうきてれつ
MISSING_CANDIDATE	子	ざ	3
	T	ざ	餃子	ぎょうざ
	T	ざ	餃子の皮	ぎょうざのかわ
MISSING_CANDIDATE	小	こう	5
	T	こう	小路	こうじ
	T	こう	広小路	ひろこうじ
	T	こう	武者小路千家	むしゃこうじせんけ
	T	こう	袋小路	ふくろこうじ
	T	こう	袋小路文	ふくろこうじぶん
MISSING_CANDIDATE	小	ささ	3
	T	ささ	小	ささ
	T	ささ	小波	ささなみ
	T	ささ	小鳴き	ささなき
MISSING_CANDIDATE	小	ち	7
	T	ち	小っこい	ちっこい
	T	ち	小っさい	ちっさい
	T	ち	小っさな	ちっさな
	T	ち	小っちゃい	ちっちゃい
	T	ち	小っちゃこい	ちっちゃこい
MISSING_CANDIDATE	左	ざ	3
	T	ざ	土左衛門	どざえもん
	T	ざ	平気の平左	へいきのへいざ
	T	ざ	烏勘左衛門	からすかんざえもん
MISSING_CANDIDATE	年	とせ	7
	T	とせ	一年	ひととせ
	T	とせ	万年	よろずとせ
	T	とせ	八千年	やちとせ
	T	とせ	千年	ちとせ
	T	とせ	年	とせ
MISSING_CANDIDATE	文	ふ	3
	T	ふ	文月	ふづき
	T	ふ	文机	ふづくえ
	T	ふ	文箱	ふばこ
MISSING_CANDIDATE	文	も	337
	T	も	い文字	いもじ
	T	も	お目文字	おめもじ
	T	も	かな文字	かなもじ
	T	も	からの文字列	からのもじれつ
	T	も	か文字	かもじ
MISSING_CANDIDATE	日	す	4
	T	す	明日	あす
	T	す	明日のことを言えば鬼が笑う	あすのことをいえばおにがわらう
	T	す	明日の事を言えば鬼が笑う	あすのことをいえばおにがわらう
