	T	しょ	御手塩	おてしょ
MISSING_CANDIDATE	変	かわ	24
	T	かわ	あい変らず	あいかわらず
	T	かわ	一風も二風も変った	いっぷうもにふうもかわった
	T	かわ	一風変った	いっぷうかわった
	T	かわ	二風も三風も変った	にふうもさんぷうもかわった
	T	かわ	変り	かわり
MISSING_CANDIDATE	変	がわ	13
	T	がわ	代変り	だいがわり
	T	がわ	声変り	こえがわり
	T	がわ	心変り	こころがわり
	T	がわ	日変り	ひがわり
	T	がわ	早変り	はやがわり
MISSING_CANDIDATE	夫	つま	3
	T	つま	わが夫	わがつま
	T	つま	夫	つま
	T	つま	我が夫	わがつま
MISSING_CANDIDATE	夫	ゆう	7
	T	ゆう	仁太夫	にだゆう
	T	ゆう	太夫	たゆう
	T	ゆう	太夫元	たゆうもと
	T	ゆう	義太夫	ぎだゆう
	T	ゆう	義太夫節	ぎだゆうぶし
MISSING_CANDIDATE	好	こ	13
	T	こ	ええ格好しぃ	ええかっこしぃ
	T	こ	ええ格好しい	ええかっこしい
	T	こ	恰好	かっこ
	T	こ	恰好悪い	かっこわるい
	T	こ	格好	かっこ
MISSING_CANDIDATE	好	ごう	3
	T	ごう	相好	そうごう
	T	ごう	相好をくずす	そうごうをくずす
	T	ごう	相好を崩す	そうごうをくずす
MISSING_CANDIDATE	官	がん	3
	T	がん	判官	はんがん
	T	がん	判官びいき	はんがんびいき
	T	がん	宦官	かんがん
MISSING_CANDIDATE	府	ぶ	3
	T	ぶ	国府	こくぶ
	T	ぶ	国府タバコ	こくぶたばこ
	T	ぶ	間府	まぶ
MISSING_CANDIDATE	建	だつ	3
	T	だつ	卯建	うだつ
	T	だつ	卯建が上がらない	うだつがあがらない
	T	だつ	卯建のあがらない	うだつのあがらない
MISSING_CANDIDATE	徒	かち	6
	T	かち	徒	かち
	T	かち	徒人	かちびと
	T	かち	徒侍	かちざむらい
	T	かち	徒組	かちぐみ
	T	かち	御徒面子	おかちめんこ
MISSING_CANDIDATE	徒	ず	3
	T	ず	徒	ず
	T	ず	徒人	ずにん
	T	ず	徒罪	ずざい
MISSING_CANDIDATE	徒	ただ	12
	T	ただ	徒	ただ
	T	ただ	徒ならぬ	ただならぬ
	T	ただ	徒事	ただごと
	T	ただ	徒人	ただひと
	T	ただ	徒人	ただびと
MISSING_CANDIDATE	徒	むだ	13
	T	むだ	徒	むだ
	T	むだ	徒口	むだぐち
	T	むだ	徒死に	むだじに
	T	むだ	徒毛	むだげ
	T	むだ	徒花	むだばな
MISSING_CANDIDATE	徳	とっ	3
	T	とっ	徳化	とっか
	T	とっ	徳器	とっき
	T	とっ	徳行	とっこう
MISSING_CANDIDATE	愛	え	8
	T	え	愛媛	えひめ
	T	え	愛媛大	えひめだい
	T	え	愛媛大学	えひめだいがく
	T	え	愛媛女子短大	えひめじょしたんだい
	T	え	愛媛県	えひめけん
MISSING_CANDIDATE	愛	わ	5
	T	わ	きも可愛	きもかわ
	T	わ	キモ可愛	きもかわ
	T	わ	安可愛	やすかわ
MISSING_CANDIDATE	愛	わい	38
	T	わい	かっこ可愛い	かっこかわいい
	T	わい	きも可愛い	きもかわいい
	T	わい	わが身可愛さ	わがみかわいさ
	T	わい	エロ可愛い	えろかわいい
	T	わい	カッコ可愛い	かっこかわいい
MISSING_CANDIDATE	改	あらため	3
	T	あらため	人別改	にんべつあらため
	T	あらため	宗門改	しゅうもんあらため
	T	あらため	宗門改役	しゅうもんあらためやく
MISSING_CANDIDATE	散	ちら	4
	T	ちら	ピンク散し	ぴんくちらし
	T	ちら	吹き散す	ふきちらす
	T	ちら	怒鳴り散す	どなりちらす
	T	ちら	花散しの雨	はなちらしのあめ
MISSING_CANDIDATE	昨	さっ	4
	T	さっ	昨今	さっこん
	T	さっ	昨夏	さっか
	T	さっ	昨季	さっき
	T	さっ	昨期	さっき
# T.shimizu Added 
MISSING_CANDIDATE	景	げい	0
MISSING_CANDIDATE	景	げ	11
	T	げ	にわか景気	にわかげいき
	T	げ	付け景気	つけげいき
	T	げ	俄景気	にわかげいき
	T	げ	冬景色	ふゆげしき
	T	げ	初景色	はつげしき
MISSING_CANDIDATE	最	さ	3
	T	さ	まっ最中	まっさなか
	T	さ	最中	さなか
	T	さ	真っ最中	まっさなか
MISSING_CANDIDATE	最	も	7
	T	も	最中	もなか
	T	も	最中の月	もなかのつき
	T	も	最寄	もより
	T	も	最寄り	もより
	T	も	最寄り駅	もよりえき
MISSING_CANDIDATE	末	ずえ	3
	T	ずえ	月末	つきずえ
	T	ずえ	葉末	はずえ
	T	ずえ	野末	のずえ
MISSING_CANDIDATE	末	ま	6
	T	ま	末尼教	まにきょう
	T	ま	末羅	まら
	T	ま	末行	まぎょう
	T	ま	末那	まな
	T	ま	末那識	まなしき
MISSING_CANDIDATE	材	さい	3
	T	さい	不材	ふさい
	T	さい	材器	さいき
	T	さい	材棒	さいぼう
MISSING_CANDIDATE	果	くだ	7
	T	くだ	唐果物	からくだもの
	T	くだ	果物	くだもの
	T	くだ	果物の王様	くだもののおうさま
	T	くだ	果物ナイフ	くだものないふ
	T	くだ	果物屋	くだものや
MISSING_CANDIDATE	果	はか	5
	T	はか	果	はか
	T	はか	果が行く	はかがいく
