	T	すく	宿曜道	すくようどう
MISSING_CANDIDATE	岸	し	8
	T	し	向う河岸	むこうがし
	T	し	向こう河岸	むこうがし
	T	し	夕河岸	ゆうがし
	T	し	河岸	かし
	T	し	河岸をかえる	かしをかえる
MISSING_CANDIDATE	帳	や	6
	T	や	蚊帳	かや
	T	や	蚊帳の外	かやのそと
	T	や	蚊帳の外に置く	かやのそとにおく
	T	や	蚊帳吊り草	かやつりぐさ
	T	や	蚊帳釣り草	かやつりぐさ
MISSING_CANDIDATE	平	たいら	3
	T	たいら	お平に	おたいらに
	T	たいら	平か	たいらか
	T	たいら	御平に	おたいらに
MISSING_CANDIDATE	平	なら	3
	T	なら	平し	ならし
	T	なら	平す	ならす
	T	なら	掻き平す	かきならす
MISSING_CANDIDATE	平	べ	7
	T	べ	ど助平	どすけべ
	T	べ	むっつり助平	むっつりすけべ
	T	べ	助け平	すけべ
	T	べ	助平	すけべ
	T	べ	助平心	すけべごころ
MISSING_CANDIDATE	待	だい	4
	T	だい	招待	しょうだい
	T	だい	相待	そうだい
	T	だい	絶待	ぜつだい
	T	だい	請待	しょうだい
MISSING_CANDIDATE	息	い	4
	T	い	息吹	いぶき
	T	い	息吹き	いぶき
	T	い	息吹く	いふく
	T	い	息吹く	いぶく
MISSING_CANDIDATE	息	むす	21
	T	むす	どら息子	どらむすこ
	T	むす	ひとり息子	ひとりむすこ
	T	むす	まま息子	ままむすこ
	T	むす	もらい息子	もらいむすこ
	T	むす	ドラ息子	どらむすこ
MISSING_CANDIDATE	悪	なく	3
	T	なく	三悪	さんなく
	T	なく	三悪趣	さんなくしゅ
	T	なく	三悪道	さんなくどう
MISSING_CANDIDATE	悪	まく	3
	T	まく	三悪	さんまく
	T	まく	三悪趣	さんまくしゅ
	T	まく	三悪道	さんまくどう
MISSING_CANDIDATE	悲	がな	3
	T	がな	うら悲しい	うらがなしい
	T	がな	もの悲しい	ものがなしい
	T	がな	物悲しい	ものがなしい
MISSING_CANDIDATE	所	せ	5
	T	せ	の所為で	のせいで
	T	せ	所為	せい
	T	せ	所為か	せいか
	T	せ	所為にする	せいにする
	T	せ	気の所為	きのせい
MISSING_CANDIDATE	所	そ	19
	T	そ	余所	よそ
	T	そ	余所さま	よそさま
	T	そ	余所ながら	よそながら
	T	そ	余所にする	よそにする
	T	そ	余所の人	よそのひと
MISSING_CANDIDATE	所	ど	5
	T	ど	当て所	あてど
	T	ど	当て所なく	あてどなく
	T	ど	明所	あきど
	T	ど	空所	あきど
	T	ど	臥し所	ふしど
MISSING_CANDIDATE	打	た	5
	T	た	只管打坐	しかんたざ
	T	た	只管打座	しかんたざ
	T	た	打成一片	たじょういっぺん
	T	た	打破	たは
	T	た	祗管打坐	しかんたざ
MISSING_CANDIDATE	打	ち	5
	T	ち	丁半博打	ちょうはんばくち
	T	ち	博打	ばくち
	T	ち	博打の木	ばくちのき
	T	ち	大博打	おおばくち
	T	ち	野博打	のばくち
MISSING_CANDIDATE	指	じ	3
	T	じ	一弾指	いったんじ
	T	じ	弾指	たんじ
	T	じ	弾指	だんじ
MISSING_CANDIDATE	放	ひ	5
	T	ひ	屁を放る	へをひる
	T	ひ	屁放り	へひり
	T	ひ	放り出す	ひりだす
	T	ひ	放る	ひる
	T	ひ	沈香も焚かず屁も放らず	じんこうもたかずへもひらず
MISSING_CANDIDATE	放	ぴ	4
	T	ぴ	屁っ放り	へっぴり
	T	ぴ	屁っ放り男	へっぴりおとこ
	T	ぴ	屁っ放り腰	へっぴりごし
	T	ぴ	屁っ放り虫	へっぴりむし
MISSING_CANDIDATE	放	ほ	8
	T	ほ	放ったらかし	ほったらかし
	T	ほ	放ったらかしにする	ほったらかしにする
	T	ほ	放ったらかす	ほったらかす
	T	ほ	放っておく	ほっておく
	T	ほ	放って置く	ほっておく
MISSING_CANDIDATE	旅	はた	3
	T	はた	旅籠	はたご
	T	はた	旅籠屋	はたごや
	T	はた	片旅籠	かたはたご
MISSING_CANDIDATE	昔	じゃく	3
	T	じゃく	今昔	こんじゃく
	T	じゃく	今昔物語	こんじゃくものがたり
	T	じゃく	今昔物語集	こんじゃくものがたりしゅう
MISSING_CANDIDATE	暗	く	5
	T	く	掻き暗れる	かきくれる
	T	く	搔き暗れる	かきくれる
	T	く	暗れる	くれる
	T	く	暗れ塞がる	くれふさがる
	T	く	木の暗れ	このくれ
MISSING_CANDIDATE	曲	きょっ	4
	T	きょっ	内曲球	ないきょっきゅう
	T	きょっ	曲球	きょっきゅう
	T	きょっ	曲管	きょっかん
	T	きょっ	曲解	きょっかい
MISSING_CANDIDATE	曲	くせ	6
	T	くせ	曲	くせ
	T	くせ	曲事	くせごと
	T	くせ	曲物	くせもの
	T	くせ	曲球	くせだま
	T	くせ	曲者	くせもの
MISSING_CANDIDATE	曲	まが	20
	T	まが	ひん曲る	ひんまがる
	T	まが	へそ曲り	へそまがり
	T	まが	大曲り	おおまがり
	T	まが	曲	まが
	T	まが	曲り	まがり
MISSING_CANDIDATE	曲	まがり	3
	T	まがり	嘴曲千鳥	はしまがりちどり
	T	まがり	曲家	まがりや
	T	まがり	曲屋	まがりや
MISSING_CANDIDATE	曲	まげ	4
	T	まげ	丸曲	まるまげ
	T	まげ	折曲厳禁	おりまげげんきん
	T	まげ	曲物	まげもの
	T	まげ	曲物屋	まげものや
MISSING_CANDIDATE	曲	わ	3
	T	わ	曲げ物	わげもの
	T	わ	曲げ物屋	わげものや
	T	わ	浦曲	うらわ
MISSING_CANDIDATE	曲	わげ	3
	T	わげ	兵庫曲	ひょうごわげ
	T	わげ	曲物	わげもの
