	T	くら	暮し	くらし
	T	くら	暮しむき	くらしむき
	T	くら	暮し向き	くらしむき
	T	くら	暮す	くらす
MISSING_CANDIDATE	暮	ぐら	9
	T	ぐら	その日暮し	そのひぐらし
	T	ぐら	ひとり暮し	ひとりぐらし
	T	ぐら	一人暮し	ひとりぐらし
	T	ぐら	日暮し	ひぐらし
	T	ぐら	暮し	ぐらし
MISSING_CANDIDATE	暮	ぐれ	4
	T	ぐれ	夕暮	ゆうぐれ
	T	ぐれ	夕暮時	ゆうぐれどき
	T	ぐれ	夕暮泣き	ゆうぐれなき
	T	ぐれ	日暮	ひぐれ
MISSING_CANDIDATE	机	ぎ	3
	T	ぎ	ばったり床机	ばったりしょうぎ
	T	ぎ	ばったん床机	ばったんしょうぎ
	T	ぎ	床机	しょうぎ
MISSING_CANDIDATE	染	じみ	4
	T	じみ	幼馴染	おさななじみ
	T	じみ	昔馴染	むかしなじみ
	T	じみ	顔馴染	かおなじみ
	T	じみ	馴染	なじみ
MISSING_CANDIDATE	棒	ぼ	3
	T	ぼ	棒手振	ぼてふり
	T	ぼ	棒手振り	ぼてふり
	T	ぼ	焼け棒杭	やけぼくい
MISSING_CANDIDATE	棒	ぼっ	3
	T	ぼっ	焼け棒杭	やけぼっくい
	T	ぼっ	焼け棒杭に火がつく	やけぼっくいにひがつく
	T	ぼっ	焼け棒杭に火が付く	やけぼっくいにひがつく
MISSING_CANDIDATE	樹	こ	3
	T	こ	樹肌	こはだ
	T	こ	樹蔭	こかげ
	T	こ	樹陰	こかげ
MISSING_CANDIDATE	洗	らし	3
	T	らし	御手洗	みたらし
	T	らし	御手洗団子	みたらしだんご
	T	らし	御手洗川	みたらしがわ
MISSING_CANDIDATE	激	げっ	3
	T	げっ	激化	げっか
	T	げっ	激昂	げっこう
	T	げっ	激高	げっこう
MISSING_CANDIDATE	熟	こな	13
	T	こな	乗り熟す	のりこなす
	T	こな	使い熟す	つかいこなす
	T	こな	噛み熟す	かみこなす
	T	こな	数を熟す	かずをこなす
	T	こな	熟し	こなし
MISSING_CANDIDATE	熟	な	4
	T	な	熟れる	なれる
	T	な	熟れ寿司	なれずし
	T	な	生熟り	なまなり
	T	な	生熟れ	なまなれ
# T.shimizu Added
MISSING_CANDIDATE	片	ら	3
MISSING_CANDIDATE	片	けら	3
	T	けら	ひと欠片	ひとかけら
	T	けら	一欠片	ひとかけら
	T	けら	欠片	かけら
MISSING_CANDIDATE	片	びら	5
	T	びら	札片	さつびら
	T	びら	札片を切る	さつびらをきる
	T	びら	片	びら
	T	びら	花片	はなびら
	T	びら	金片	かねびら
MISSING_CANDIDATE	疑	うたぐ	4
	T	うたぐ	疑り	うたぐり
	T	うたぐ	疑りぶかい	うたぐりぶかい
	T	うたぐ	疑り深い	うたぐりぶかい
	T	うたぐ	疑る	うたぐる
MISSING_CANDIDATE	皇	すめら	3
	T	すめら	皇	すめら
	T	すめら	皇御国	すめらみくに
	T	すめら	皇御國	すめらみくに
MISSING_CANDIDATE	皇	のう	36
	T	のう	人皇	じんのう
	T	のう	人皇	にんのう
	T	のう	今上天皇	きんじょうてんのう
	T	のう	先皇	せんのう
	T	のう	勤皇	きんのう
MISSING_CANDIDATE	皇	み	3
	T	み	男皇子	おとこみこ
	T	み	皇国	みくに
	T	み	皇子	みこ
MISSING_CANDIDATE	盛	しょう	4
	T	しょう	盛者	しょうしゃ
	T	しょう	盛者	しょうじゃ
	T	しょう	盛者必衰	しょうしゃひっすい
	T	しょう	盛者必衰	しょうじゃひっすい
MISSING_CANDIDATE	砂	さご	9
	T	さご	浜の真砂	はまのまさご
	T	さご	浜の真砂は尽きるとも世に盗人の種は尽きまじ	はまのまさごはつきるともよにぬすびとのたねはつきまじ
	T	さご	真砂	まさご
	T	さご	真砂和え	まさごあえ
	T	さご	高砂	たかさご
MISSING_CANDIDATE	砂	じゃ	4
	T	じゃ	玉砂利	たまじゃり
	T	じゃ	砂利	じゃり
	T	じゃ	砂利敷き	じゃりじき
	T	じゃ	砂利道	じゃりみち
MISSING_CANDIDATE	縦	よ	3
	T	よ	縦し	よし
	T	よ	縦しや	よしや
	T	よ	縦しんば	よしんば
MISSING_CANDIDATE	縮	ちぢみ	4
	T	ちぢみ	絹縮	きぬちぢみ
	T	ちぢみ	縮こむ	ちぢみこむ
	T	ちぢみ	縮笹	ちぢみざさ
	T	ちぢみ	縮込む	ちぢみこむ
MISSING_CANDIDATE	縮	ちり	10
	T	ちり	一越縮緬	ひとこしちりめん
	T	ちり	唐縮緬	とうちりめん
	T	ちり	御召し縮緬	おめしちりめん
	T	ちり	御召縮緬	おめしちりめん
	T	ちり	絽縮緬	ろちりめん
MISSING_CANDIDATE	背	ぜ	5
	T	ぜ	一本背負い	いっぽんぜおい
	T	ぜ	丸背	まるぜ
	T	ぜ	猫背	ねこぜ
	T	ぜ	背負い投げ	ぜおいなげ
	T	ぜ	角背	かくぜ
MISSING_CANDIDATE	背	ぜい	3
	T	ぜい	上背	うわぜい
	T	ぜい	中肉中背	ちゅうにくちゅうぜい
	T	ぜい	中背	ちゅうぜい
MISSING_CANDIDATE	腹	なか	19
	T	なか	お腹	おなか
	T	なか	お腹いっぱい	おなかいっぱい
	T	なか	お腹がすく	おなかがすく
	T	なか	お腹がへる	おなかがへる
	T	なか	お腹がゆるい	おなかがゆるい
MISSING_CANDIDATE	若	じゃっ	4
	T	じゃっ	若冠	じゃっかん
	T	じゃっ	若干	じゃっかん
	T	じゃっ	若干名	じゃっかんめい
	T	じゃっ	若朽	じゃっきゅう
MISSING_CANDIDATE	蒸	ふ	3
	T	ふ	蒸かし芋	ふかしいも
	T	ふ	蒸かす	ふかす
	T	ふ	蒸ける	ふける
MISSING_CANDIDATE	衆	す	8
	T	す	下衆	げす
	T	す	下衆のかんぐり	げすのかんぐり
	T	す	下衆の勘ぐり	げすのかんぐり
	T	す	下衆の勘繰り	げすのかんぐり
	T	す	下衆の後知恵	げすのあとぢえ
MISSING_CANDIDATE	訪	ぼう	3
	T	ぼう	採訪	さいぼう
	T	ぼう	探訪	たんぼう
