MISSING_CANDIDATE	慣	なら	3
	T	なら	慣わし	ならわし
	T	なら	慣わす	ならわす
	T	なら	手慣し	てならし
MISSING_CANDIDATE	採	とり	3
	T	とり	採上げる	とりあげる
	T	とり	採入れる	とりいれる
	T	とり	木の葉採月	このはとりづき
MISSING_CANDIDATE	接	は	8
	T	は	メリヤス接ぎ	めりやすはぎ
	T	は	掛け接ぎ	かけはぎ
	T	は	掛接ぎ	かけはぎ
	T	は	接ぎ合わせる	はぎあわせる
	T	は	接ぎ目	はぎめ
MISSING_CANDIDATE	提	さげ	5
	T	さげ	手提	てさげ
	T	さげ	手提バッグ	てさげばっぐ
	T	さげ	手提籠	てさげかご
	T	さげ	手提金庫	てさげきんこ
	T	さげ	提重箱	さげじゅうばこ
MISSING_CANDIDATE	政	じょう	4
	T	じょう	太政大臣	だいじょうだいじん
	T	じょう	太政大臣	だじょうだいじん
	T	じょう	太政官	だいじょうかん
	T	じょう	太政官	だじょうかん
MISSING_CANDIDATE	断	こと	6
	T	こと	お断わり	おことわり
	T	こと	断わり	ことわり
	T	こと	断わりをいれる	ことわりをいれる
	T	こと	断わりを入れる	ことわりをいれる
	T	こと	断わる	ことわる
MISSING_CANDIDATE	断	たち	3
	T	たち	断切り	たちきり
	T	たち	断切る	たちきる
	T	たち	断割る	たちわる
MISSING_CANDIDATE	旧	く	3
	T	く	旧事	くじ
	T	く	旧唐書	くとうじょ
	T	く	旧訳	くやく
MISSING_CANDIDATE	枝	え	5
	T	え	上枝	うわえ
	T	え	下枝	したえ
	T	え	大枝	おおえ
	T	え	松が枝	まつがえ
	T	え	細枝楓	ほそえかえで
MISSING_CANDIDATE	構	かじ	3
	T	かじ	構	かじ
	T	かじ	構の木	かじのき
	T	かじ	構苺	かじいちご
MISSING_CANDIDATE	減	べ	3
	T	べ	人減らし	ひとべらし
	T	べ	口減らし	くちべらし
	T	べ	目減り	めべり
MISSING_CANDIDATE	潔	けっ	5
	T	けっ	清廉潔白	せいれんけっぱく
	T	けっ	清浄潔白	せいじょうけっぱく
	T	けっ	潔斎	けっさい
	T	けっ	潔白	けっぱく
	T	けっ	精進潔斎	しょうじんけっさい
MISSING_CANDIDATE	燃	もえ	3
	T	もえ	燃付く	もえつく
	T	もえ	燃木	もえぎ
	T	もえ	燃立つ	もえたつ
MISSING_CANDIDATE	独	とっ	4
	T	とっ	独古	とっこ
	T	とっ	独股	とっこ
	T	とっ	独鈷	とっこ
	T	とっ	独鈷石	とっこいし
MISSING_CANDIDATE	独	ど	4
	T	ど	独乙	どいつ
	T	ど	独乙語	どいつご
	T	ど	独逸	どいつ
	T	ど	独逸語	どいつご
MISSING_CANDIDATE	現	あき	3
	T	あき	現つ御神	あきつみかみ
	T	あき	現つ神	あきつかみ
	T	あき	現津御神	あきつみかみ
MISSING_CANDIDATE	現	あら	9
	T	あら	化けの皮を現わす	ばけのかわをあらわす
	T	あら	現わす	あらわす
	T	あら	現われ	あらわれ
	T	あら	現われる	あらわれる
	T	あら	現われ出る	あらわれでる
MISSING_CANDIDATE	現	うつし	4
	T	うつし	現世	うつしよ
	T	うつし	現人	うつしびと
	T	うつし	現国	うつしくに
	T	うつし	現身	うつしみ
MISSING_CANDIDATE	留	とま	3
	T	とま	留り木	とまりぎ
	T	とま	留る	とまる
	T	とま	立留る	たちとまる
MISSING_CANDIDATE	留	どま	3
	T	どま	歩留り	ぶどまり
	T	どま	留り	どまり
	T	どま	立留る	たちどまる
MISSING_CANDIDATE	略	りゃっ	3
	T	りゃっ	略解	りゃっかい
	T	りゃっ	略記	りゃっき
	T	りゃっ	略記法	りゃっきほう
MISSING_CANDIDATE	眼	ま	3
	T	ま	眼の当たり	まのあたり
	T	ま	眼深	まぶか
	T	ま	眼蓋	まぶた
MISSING_CANDIDATE	破	われ	5
	T	われ	破殻	われから
	T	われ	破物	われもの
	T	われ	破目	われめ
	T	われ	破鐘	われがね
MISSING_CANDIDATE	確	しっか	4
	T	しっか	確と	しっかと
	T	しっか	確り	しっかり
	T	しっか	確りしろ	しっかりしろ
	T	しっか	確り者	しっかりもの
MISSING_CANDIDATE	祖	おや	7
	T	おや	み祖	みおや
	T	おや	先つ祖	さきつおや
	T	おや	先の祖	さきのおや
	T	おや	名祖	なおや
	T	おや	天津御祖	あまつみおや
MISSING_CANDIDATE	築	つい	5
	T	つい	築地	ついじ
	T	つい	築地塀	ついじべい
	T	つい	築垣	ついかき
	T	つい	築垣	ついがき
	T	つい	築牆	ついかき
MISSING_CANDIDATE	築	つき	4
	T	つき	築地	つきじ
	T	つき	築垣	つきがき
	T	つき	築山	つきやま
	T	つき	築磯	つきいそ
MISSING_CANDIDATE	素	しら	4
	T	しら	素人	しらびと
	T	しら	素声	しらこえ
	T	しら	素声	しらごえ
	T	しら	素拍子	しらびょうし
# T.shimizu changed しろう->しろ
MISSING_CANDIDATE	素	しろ	14
	T	しろう	ずぶの素人	ずぶのしろうと
	T	しろう	素人	しろうと
	T	しろう	素人下宿	しろうとげしゅく
	T	しろう	素人判断	しろうとはんだん
	T	しろう	素人療法	しろうとりょうほう
MISSING_CANDIDATE	素	すっ	3
	T	すっ	素破	すっぱ
	T	すっ	素破抜き	すっぱぬき
	T	すっ	素破抜く	すっぱぬく
MISSING_CANDIDATE	素	そう	5
	T	そう	流し素麺	ながしそうめん
	T	そう	無味簡素	むみかんそう
	T	そう	素麺	そうめん
	T	そう	貧素	ひんそう
	T	そう	鶏卵素麺	けいらんそうめん
MISSING_CANDIDATE	経	たて	5
	T	たて	経	たて
	T	たて	経畝織	たてうねおり
	T	たて	経畝織り	たてうねおり
	T	たて	経糸	たていと
	T	たて	経緯	たてぬき
MISSING_CANDIDATE	絶	たえ	4
	T	たえ	絶入る	たえいる
	T	たえ	絶果てる	たえはてる
	T	たえ	絶間なく	たえまなく
	T	たえ	絶間無く	たえまなく
MISSING_CANDIDATE	職	しき	9
	T	しき	人文知職	じんぶんちしき
	T	しき	有職	ゆうしき
	T	しき	組職	そしき
	T	しき	職	しき
	T	しき	職分田	しきぶんでん
MISSING_CANDIDATE	職	じょく	3
	T	じょく	小職	こじょく
	T	じょく	居職	いじょく
	T	じょく	手職	てじょく
MISSING_CANDIDATE	肥	こや	3
	T	こや	箪笥の肥し	たんすのこやし
	T	こや	肥し	こやし
	T	こや	肥す	こやす
MISSING_CANDIDATE	肥	ぶと	4
	T	ぶと	小肥り	こぶとり
	T	ぶと	脂肥り	あぶらぶとり
	T	ぶと	酒肥り	さかぶとり
	T	ぶと	酒肥り	さけぶとり
MISSING_CANDIDATE	舎	じゃ	4
	T	じゃ	坊舎	ぼうじゃ
	T	じゃ	堂舎	どうじゃ
	T	じゃ	田舎	でんじゃ
	T	じゃ	精舎	しょうじゃ
MISSING_CANDIDATE	舎	や	3
	T	や	学び舎	まなびや
	T	や	手水舎	てみずや
	T	や	馬舎	うまや
MISSING_CANDIDATE	術	ずつ	3
	T	ずつ	手術	しゅずつ
	T	ずつ	術なし	ずつなし
	T	ずつ	術無し	ずつなし
MISSING_CANDIDATE	複	ぷく	3
	T	ぷく	単複	たんぷく
	T	ぷく	単複同形	たんぷくどうけい
	T	ぷく	連複	れんぷく
MISSING_CANDIDATE	解	とけ	4
	T	とけ	解合	とけあい
	T	とけ	解合い	とけあい
	T	とけ	解合う	とけあう
	T	とけ	解込む	とけこむ
MISSING_CANDIDATE	解	ほつ	5
	T	ほつ	解す	ほつす
	T	ほつ	解れ	ほつれ
	T	ほつ	解れる	ほつれる
	T	ほつ	解れ毛	ほつれげ
	T	ほつ	解れ髪	ほつれがみ
MISSING_CANDIDATE	設	しつら	3
	T	しつら	設い	しつらい
	T	しつら	設え	しつらえ
	T	しつら	設える	しつらえる
MISSING_CANDIDATE	許	ばか	16
	T	ばか	其許り	そればかり
	T	ばか	形許り	かたちばかり
	T	ばか	形許り	かたばかり
	T	ばか	心許り	こころばかり
	T	ばか	是許り	こればかり
MISSING_CANDIDATE	許	ばく	8
	T	ばく	余命幾許もない	よめいいくばくもない
	T	ばく	余命幾許も無い	よめいいくばくもない
	T	ばく	幾許	いくばく
	T	ばく	幾許か	いくばくか
	T	ばく	幾許もない	いくばくもない
